Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Bellman-Ford,Average visited Dijkstra,Average visited SLF-LLL
random92,rand100000_92_25,100000,9239870,0.000923996,202,0,92.3987,621.013,0.000989515,0.00103502,140.14072,66.95915,4.0999887,2.0929285990040194,34.18075762013685,16.33154501133137,30344154.0,33976198.0,16743378.0
random92,rand250000_92_15,250000,23133870,0.000370143,164,20,92.5355,225.803,0.000376172,0.000380581,435.07986,207.82818,8.853514899999999,2.0934594144066505,49.142048656856055,23.474087110871643,80668185.0,84771249.0,41822495.0
random92,rand100000_92_30,100000,9240902,0.000924099,215,0,92.409,899.387,0.00103132,0.00110289,139.70574,67.4426,4.0907739,2.071476188640414,34.151420590612446,16.486513713212062,30198600.0,34094397.0,17040715.0
random92,rand100000_92_20,100000,9250464,0.000925056,189,9,92.5046,400.953,0.000959412,0.000984142,140.65856,66.84858,4.0977988,2.104136841799781,34.32539440443001,16.31328995459709,30398736.0,33938196.0,16506370.0
random92,rand250000_92_5,250000,23125110,0.000370003,115,70,92.5004,25.0256,0.000363823,0.00036402,429.15566,203.71129000000002,8.739402399999998,2.1066856922853905,49.10583588644461,23.309521712834744,81083455.0,84552881.0,41424492.0
random184,rand100000_184_45,100000,18456950,0.00184571,391,0,184.57,2029.49,0.00196833,0.00203918,231.23320999999999,98.72375,6.362022,2.34222474328619,36.345867713126424,15.517668753738985,55563825.0,75546662.0,31190324.0
random184,rand250000_184_40,250000,46113686,0.000737822,367,12,184.455,1604.87,0.000776815,0.000797717,685.9165900000002,290.933,14.196707000000002,2.3576445092168994,48.315189571778866,20.492991790279248,144007710.0,188534560.0,80289446.0
random184,rand50000_184_50,50000,9205128,0.00368212,432,0,184.103,2484.64,0.0039871,0.00417615,103.06787,43.907489999999996,3.8159206,2.3473869720177585,27.00996189490945,11.50639507541116,26972576.0,37713273.0,15149648.0
random184,rand250000_184_5,250000,46127030,0.000738035,207,162,184.508,25.0476,0.000731351,0.00073142,699.0589799999999,299.87962,14.28132,2.3311320055694345,48.94918536941963,20.99803239476463,144034910.0,187936680.0,78648566.0
random184,rand100000_184_40,100000,18453116,0.00184533,358,0,184.531,1602.09,0.0019394,0.00199092,231.90868999999998,99.46235,6.3547625000000005,2.3316228703625037,36.49368328084645,15.651623487109076,55383844.0,75481626.0,31156944.0
random184,rand100000_184_5,100000,18448800,0.0018449,208,161,184.488,24.9053,0.00182919,0.00182937,234.2673,99.70136000000001,6.333793199999999,2.349690114558116,36.986888046802676,15.7411770248514,55374556.0,75166550.0,30585892.0
random184,rand500000_184_30,500000,92270600,0.000369083,326,46,184.541,900.497,0.000378614,0.000383147,1665.5291,717.76117,28.240892000000002,2.320450268994072,58.97579651520922,25.415669235943394,299465460.0,376703810.0,162469020.0
random184,rand250000_184_15,250000,46135368,0.000738169,257,115,184.541,223.206,0.000736996,0.000738109,693.6999400000001,295.09073,14.365846999999999,2.3508022092052845,48.288133654771634,20.541129945209637,143562930.0,188091740.0,79206556.0
random184,rand50000_184_40,50000,9234960,0.00369406,355,9,184.699,1591.83,0.00388747,0.00398976,103.48404000000001,43.73393,3.8080353000000002,2.3662186316208036,27.17517875950362,11.484644063042166,27147054.0,37784018.0,15030284.0
random184,rand100000_184_30,100000,18446330,0.00184465,310,37,184.463,898.561,0.00189342,0.0019161,232.8575,99.59988000000001,6.349405999999999,2.3379295236098674,36.67390303911894,15.686487838389926,55317977.0,75299363.0,30725543.0
random184,rand50000_184_60,50000,9233696,0.00369355,427,0,184.674,3633.92,0.00415449,0.00445997,104.78988999999996,45.316580000000016,3.8417213000000006,2.3123962576169674,27.27680688341446,11.795905132420723,27008279.0,37929660.0,15314917.0
random184,rand50000_184_45,50000,9240824,0.0036964,356,0,184.816,2025.32,0.00394312,0.00408464,104.65619000000001,44.538869999999996,3.8138713000000006,2.3497720081358153,27.440933835391874,11.678126107716322,27340637.0,37820764.0,15060620.0
random184,rand50000_184_15,50000,9225300,0.00369019,244,126,184.506,225.124,0.00368616,0.00369237,105.03272000000001,44.393769999999996,3.7648115,2.365933778545954,27.89853356535912,11.791764341986312,27137652.0,37603330.0,14741467.0
random184,rand250000_184_10,250000,46123436,0.000737978,231,142,184.494,100.103,0.000734506,0.000734894,698.2861300000003,297.21966,14.242545,2.3493941484220806,49.02818492060234,20.868437487822575,144570470.0,188000050.0,78895548.0
random184,rand100000_184_15,100000,18446852,0.0018447,251,126,184.469,223.768,0.00184435,0.00184716,232.20712,99.23944,6.333846899999998,2.339867294696544,36.661309258990784,15.668114743979686,55802366.0,75200402.0,30636262.0
