Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Bellman-Ford,Average visited Dijkstra,Average visited SLF-LLL
rgg_n2,w_rgg_n_2_16_s0,65536,684254,0.000159318,27,0,10.4409,10.5483,0.586701,0.588157,14.940299999999997,6.8749199999999995,16.009256,2.1731598331326034,0.9332288770946006,0.42943407238912285,8998584.2,1401149.0,955033.97
rgg_n2,w_rgg_n_2_17_s0,131072,1457506,8.48387e-05,28,0,11.1199,11.1838,0.587169,0.588272,33.327110000000005,15.52549,22.792925000000004,2.1466060008411976,1.4621690722011325,0.6811539106981661,34535664.9,3055770.6,2061619.0
rgg_n2,w_rgg_n_2_18_s0,262144,3094566,4.5032e-05,31,0,11.8048,11.8925,0.586872,0.587236,75.72845,37.123270000000005,37.879937,2.0399186278579444,1.9991704315664516,0.9800245971898002,83578185.0,6639567.1,4516405.8
rgg_n2,w_rgg_n_2_19_s0,524288,6539532,2.37907e-05,30,0,12.4732,12.556,0.586594,0.586995,177.73639000000003,90.47387,184.73972999999998,1.9645052212312795,0.9620907749513331,0.48973693963935105,260151214.0,14343347.0,9666348.2
rgg_n2,w_rgg_n_2_20_s0,1048576,13783240,1.25358e-05,36,0,13.1447,13.1642,0.586871,0.587161,423.78174999999993,215.92237,308.78094,1.962657921918882,1.3724349372082356,0.6992736339231301,815553170.0,30813467.0,20679063.0
rgg_n2,w_rgg_n_2_21_s0,2097152,28975990,6.58838e-06,37,0,13.8168,13.9326,0.586839,0.587038,991.9785800000002,491.74426000000005,660.6266799999999,2.0172651939038397,1.5015720830409096,0.7443602792427338,2145582390.0,65962662.0,43664492.0
rgg_n2,w_rgg_n_2_22_s0,4194304,60718396,3.45144e-06,36,0,14.4764,14.5339,0.586627,0.58687,2335.3932999999997,1150.1669,1540.9616999999998,2.030482097859015,1.5155427289334966,0.7463955139183538,8080007142.857142,140658000.0,92039285.71428572
rgg_n2,w_rgg_n_2_23_s0,8388608,127002786,1.80482e-06,40,0,15.1399,15.1687,0.586638,0.58681,5390.441399999999,2609.0735999999997,4183.376000000001,2.0660365426257044,1.2885385870168011,0.6236765712668426,18575924600.0,298844890.0,193087750.0
streets,w_belgium_osm,1441295,3099940,1.49227e-06,10,1,2.1508,0.242748,0.00370665,0.00167673,152.809,59.95250999999999,294.91947,2.548834068832148,0.5181380530759804,0.20328434063712372,15520491.5,3185603.1,3115577.3
streets,w_road_central,14081816,33866826,1.70788e-07,8,1,2.405,0.863523,0.0229903,0.0158958,2321.0358,1030.34329,1700.7679,2.2526820163015766,1.3646987340247896,0.6058106400056116,1280666900.0,36705181.0,34528825.0
streets,w_germany_osm,11548845,24738362,1.85479e-07,13,1,2.14206,0.279723,0.00255183,0.00123128,1679.6061000000002,869.72467,1032.25932,1.9311928911939458,1.627116430394642,0.8425447493174487,245827980.0,25393740.0,24868266.0
streets,w_luxembourg_osm,114599,239332,1.8224e-05,6,1,2.08843,0.169093,0.0014578,0.000605881,8.90936,4.017709999999999,43.96848899999999,2.21752192169171,0.20263057027044984,0.0913770314008289,700827.85,243216.61,239982.78
streets,w_netherlands_osm,2216688,4882476,9.93645e-07,7,1,2.2026,0.338214,0.00184131,0.000961557,242.69674999999995,94.57566999999999,367.20541000000003,2.566164744061554,0.6609291241106713,0.2575552195704306,26494587.0,5066903.4,4916472.6
streets,w_italy_osm,6686493,14027956,3.1376e-07,9,1,2.09795,0.166648,0.00269188,0.00101991,757.2310900000001,448.53321000000005,1698.045,1.6882386256304187,0.44594288726152725,0.26414683356448154,87543213.0,14300198.0,14086527.0
streets,w_asia_osm,11950757,25423206,1.78008e-07,9,1,2.12733,0.235062,0.00151366,0.000592161,1186.3446,511.7322700000001,7140.667799999999,2.318291555074296,0.16613916698379388,0.07166448353752014,517126184.2105263,26101747.36842105,25740460.52631579
streets,w_road_usa,23947347,57708624,1.0063e-07,9,1,2.40981,0.863022,0.0258056,0.0176287,3567.7752999999993,4388.134100000001,3110.2113999999997,0.8130506540353902,1.1471166558003099,1.4108796913290207,3370624700.0,62601494.0,59433329.0
streets,w_europe_osm,50912018,108109320,4.17083e-08,13,1,2.12345,0.230052,0.00278039,0.00117339,8293.363800000001,107053.3215,5113.4905,0.07746946739994424,1.6218596279781885,20.935468932620488,2647610000.0,110691636.36363636,110540227.27272727
streets,w_great_britain_osm,7733822,16313034,2.72739e-07,8,1,2.10931,0.295257,0.00321143,0.00142645,964.3813100000001,532.36941,1336.3261000000002,1.8114889621475434,0.721666148704272,0.3983828572980801,151188496.0,16650900.0,16377648.0
