Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Dijkstra,Average visited SLF-LLL,Average visited Gunrock
primal,primal_5000,5000,29988,0.00119976,7,5,5.9976,0.182794,0.265045,0.26713,1.0679100000000001,0.49494,4.761032699999999,2.1576554733907143,0.22430217713060455,0.1039564378543336,34297.44,30103.04,45560.98
primal,primal_50000,50000,299988,0.000119998,8,5,5.99976,0.1804,0.265016,0.267044,4.98823,2.10006,12.266996700000004,2.375279753911793,0.4066382442248475,0.17119593747017145,341103.4,302392.39,512117.58
primal,primal_250000,250000,1499988,2.39999e-05,8,5,5.99995,0.17872,0.265055,0.267062,28.106290000000005,11.000159999999996,25.902857999999995,2.555080107925704,1.0850652078623915,0.42466974107644795,1694302.3,1514395.6,2807117.15
primal,primal_479970,479970,2879808,1.25008e-05,7,5,5.99997,0.0112215,0.283233,0.283527,58.644169999999995,25.114839999999994,34.813407,2.3350405576941764,1.6845283197935783,0.7214128740688894,3303025.1,2908683.8,7588212.66
primal,primal_999993,999993,5999994,6.00008e-06,8,5,6.00004,0.179031,0.265056,0.267067,128.83181000000002,57.99656999999999,170.09917000000002,2.2213694706428333,0.7573923494159319,0.3409573956180973,6779217.0,6052489.1,13154676.31
extended_k3,extended_k3_5000,5000,182962,0.00731994,45,29,36.5924,3.63426,0.293703,0.293667,3.3478599999999994,1.56478,2.2029966,2.139508429299965,1.5196845968804489,0.7102961484370879,383746.94,189420.61,450323.45
extended_k3,extended_k3_50000,50000,1832482,0.000733007,42,30,36.6496,2.38797,0.300297,0.300329,17.04917,7.8672699999999995,6.341829300000001,2.167101167240987,2.6883678499514327,1.240536385928899,4028683.1,2044441.9,4699307.48
extended_k3,extended_k3_250000,250000,9162884,0.000146607,43,30,36.6515,2.35954,0.302012,0.302076,85.66619999999999,43.49470000000001,12.800245299999998,1.9695779025950282,6.692543618675808,3.397958318814407,20219364.0,10781626.0,22445057.19
extended_k3,extended_k3_479970,479970,17305418,7.51199e-05,42,30,36.0552,1.12639,0.261608,0.26206,174.14421000000002,86.77742,19.220843000000002,2.0067917437508513,9.060175456404279,4.514756194616438,38675090.0,20175038.0,45328705.03
extended_k3,extended_k3_999993,999993,36656728,3.66573e-05,44,30,36.657,2.3854,0.3004,0.300423,376.53013999999996,186.16201,74.754674,2.02259386864162,5.036877560324856,2.490305957323819,80110438.0,43332840.0,86777072.39
extended_k4,extended_k4_5000,5000,306922,0.0122793,78,45,61.3844,12.7702,0.277129,0.276815,3.7940899999999997,1.5443899999999997,1.6741400999999998,2.45669163877,2.2662918115395483,0.9224974660125517,744061.48,318014.03,849916.09
extended_k4,extended_k4_50000,50000,3076290,0.00123054,70,51,61.5258,5.24421,0.284939,0.284886,24.915520000000004,11.501209999999999,5.3358183,2.1663390199813763,4.669484341323993,2.1554725729697353,7942847.3,3548127.6,8181340.62
extended_k4,extended_k4_250000,250000,15383678,0.00024614,72,51,61.5347,5.07942,0.287233,0.287213,122.69027,61.21975999999999,11.629412199999999,2.0040958997552427,10.549997531259578,5.264217911202769,40089534.0,18865836.0,36757916.21
extended_k4,extended_k4_479970,479970,28877790,0.000125354,70,50,60.1658,4.4099,0.24416,0.244693,251.68433999999996,122.19160999999998,17.602422999999998,2.059751401917038,14.298278140458276,6.9417494398356405,78239394.0,35338082.0,70875610.09
extended_k4,extended_k4_999993,999993,61549274,6.15502e-05,72,50,61.5497,5.12523,0.285352,0.285302,528.0210400000001,257.60718,61.972429000000005,2.049713987009213,8.520257290544478,4.15680301961377,158496260.0,76027910.0,134303811.28
extended_k5,extended_k5_5000,5000,463182,0.018531,124,64,92.6364,40.3038,0.264424,0.263763,5.947949999999999,1.9362300000000001,1.7067754000000002,3.071923273578035,3.484904926565029,1.1344374895490057,1244338.1,479654.95,1380303.6
extended_k5,extended_k5_50000,50000,4645520,0.00185825,106,79,92.9104,10.1206,0.272835,0.272724,30.690810000000003,14.646249999999998,4.5311895,2.0954722198514983,6.773234710223442,3.232319019100834,13452139.0,5394889.8,12341124.57
extended_k5,extended_k5_250000,250000,23233482,0.000371737,106,79,92.9339,9.44528,0.275421,0.275367,163.44729999999998,80.24556,11.2915705,2.0368391721610517,14.475160917606631,7.10667838455244,68292885.0,28696684.0,52941736.0
extended_k5,extended_k5_479970,479970,43383110,0.000188319,105,75,90.3871,11.6776,0.233475,0.233963,345.87967000000003,162.21800000000002,18.350819999999995,2.1321904474226043,18.848186075608616,8.83982296158973,135810580.0,54144804.0,99262528.65
extended_k5,extended_k5_999993,999993,92966080,9.29675e-05,109,77,92.9667,9.46755,0.273432,0.273357,731.0818999999999,350.2191,56.086490999999995,2.087498654413765,13.034901755576044,6.244268339055122,269802230.0,117284500.0,196326600.66
extended_opposite,extended_opposite_5000,5000,59976,0.00239952,14,10,11.9952,0.731177,0.247934,0.247618,2.0027299999999997,0.9178400000000001,4.0212544,2.182003399285278,0.4980361351920435,0.22824718575377875,98211.64,64145.1,197586.06
extended_opposite,extended_opposite_50000,50000,599976,0.000239995,16,10,11.9995,0.7216,0.25036,0.250019,8.386660000000001,3.9264300000000008,11.671962,2.1359504690011026,0.7185304407262464,0.3363984564034736,978470.18,683340.08,2963170.46
